A	successRate	result
1.02	1	57553
1.02	1.6	12366
1.02	2.2	7322
1.02	2.9	6639
1.02	3.5	6561
1.02	4.1	6522
1.02	4.8	6780
1.02	5.4	6723
1.02	6.1	6953
1.02	6.8	6943
1.02	7.5	6992
1.02	8.1	7140
1.02	8.9	7206
1.02	9.6	7340
1.02	10.3	7361
1.02	11	7429
1.02	11.8	7490
1.02	12.5	7663
1.02	13.3	7666
1.02	14.1	7738
1.02	14.9	7770
1.02	15.7	7894
1.02	16.5	7860
1.02	17.3	7896
1.02	18.2	7984
1.02	19	8102
1.02	19.9	8249
1.02	20.8	8195
1.02	21.7	8272
1.02	22.6	8354
1.02	23.5	8281
1.02	24.5	8355
1.02	25.5	8431
1.02	26.5	8485
1.02	27.5	8377
1.02	28.5	8417
1.02	29.6	8449
1.02	30.6	8601
1.02	31.7	8603
1.02	32.9	8547
1.02	34	8683
1.02	35.2	8620
1.02	36.4	8840
1.02	37.6	8729
1.02	38.9	8738
1.02	40.2	8600
1.02	41.5	8737
1.02	42.9	8797
1.02	44.3	8686
1.02	45.8	8896
1.02	47.3	8851
1.04	1	151200
1.04	1.3	126553
1.04	1.6	30823
1.04	1.9	11183
1.04	2.3	8166
1.04	2.6	7361
1.04	2.9	6846
1.04	3.2	6683
1.04	3.6	6694
1.04	3.9	6574
1.04	4.3	6541
1.04	4.6	6576
1.04	5	6626
1.04	5.3	6601
1.04	5.7	6616
1.04	6.1	6721
1.04	6.4	6760
1.04	6.8	6818
1.04	7.2	6892
1.04	7.6	6913
1.04	8	6920
1.04	8.4	7026
1.04	8.8	7081
1.04	9.2	7151
1.04	9.7	7260
1.04	10.1	7187
1.04	10.5	7239
1.04	11	7214
1.04	11.4	7303
1.04	11.9	7412
1.04	12.4	7466
1.04	12.9	7498
1.04	13.4	7435
1.04	13.9	7530
1.04	14.4	7540
1.04	14.9	7578
1.04	15.4	7615
1.04	16	7619
1.04	16.5	7654
1.04	17.1	7665
1.04	17.7	7807
1.04	18.3	7810
1.04	18.9	7825
1.04	19.5	7817
1.04	20.1	7797
1.04	20.8	7887
1.04	21.5	7872
1.04	22.2	7999
1.04	22.9	8020
1.04	23.6	7982
1.04	24.4	8063
1.06	1	150959
1.06	1.2	150780
1.06	1.4	150756
1.06	1.6	81394
1.06	1.8	18215
1.06	2.1	10593
1.06	2.3	8733
1.06	2.5	7850
1.06	2.7	7281
1.06	3	7017
1.06	3.2	6905
1.06	3.4	6723
1.06	3.7	6595
1.06	3.9	6541
1.06	4.2	6549
