configuration_id,LL_static_lambda1,LL_static_lambda2,LL_static_lda,LL_static_crossOverBias,seed,time,bound,solved
1,60,55,97,0.3468,976964627,150075,150000,0
2,66,69,8,0.4394,976964627,25059,150000,1
3,51,55,65,0.381,976964627,150096,150000,0
4,64,65,7,0.0757,976964627,19474,150000,1
5,94,88,40,0.2317,976964627,150143,150000,0
6,90,33,61,0.3601,976964627,150060,150000,0
7,5,98,98,0.0604,976964627,136141,150000,1
8,22,66,66,0.3745,976964627,150040,150000,0
9,25,72,91,0.3773,976964627,150059,150000,0
10,1,38,99,0.2747,976964627,150033,150000,0
11,20,68,35,0.2976,976964627,150039,150000,0
12,43,44,67,0.0502,976964627,24797,150000,1
13,100,19,37,0.2798,976964627,150059,150000,0
14,73,78,64,0.2003,976964627,150093,150000,0
15,63,73,47,0.1756,976964627,150120,150000,0
16,52,48,45,0.295,976964627,150000,150000,0
17,67,98,16,0.2984,976964627,26612,150000,1
18,64,28,55,0.2257,976964627,150052,150000,0
19,54,59,9,0.0732,976964627,18522,150000,1
20,24,67,28,0.1162,976964627,23914,150000,1
21,46,82,20,0.2694,976964627,40823,150000,1
22,29,84,70,0.0699,976964627,38984,150000,1
23,7,65,50,0.1586,976964627,150069,150000,0
24,2,34,6,0.2201,976964627,23140,150000,1
25,77,67,78,0.3588,976964627,150048,150000,0
26,100,18,54,0.4111,976964627,150096,150000,0
27,85,73,15,0.4566,976964627,72956,150000,1
28,64,47,23,0.3198,976964627,80564,150000,1
29,64,56,56,0.0885,976964627,56555,150000,1
30,26,28,44,0.1585,976964627,115440,150000,1
31,4,74,10,0.4752,976964627,47094,150000,1
32,10,56,37,0.1388,976964627,38873,150000,1
33,79,16,62,0.2324,976964627,150005,150000,0
34,67,67,75,0.3259,976964627,150080,150000,0
35,66,13,27,0.4398,976964627,150020,150000,0
36,1,75,41,0.0235,976964627,20595,150000,1
37,87,60,52,0.3735,976964627,150087,150000,0
38,15,73,25,0.112,976964627,19253,150000,1
39,78,25,94,0.289,976964627,150071,150000,0
40,18,35,68,0.3284,976964627,150043,150000,0
41,32,41,45,0.1315,976964627,63125,150000,1
42,62,54,84,0.1528,976964627,150104,150000,0
43,81,65,59,0.3657,976964627,150088,150000,0
44,88,99,17,0.3718,976964627,42594,150000,1
45,53,79,57,0.2046,976964627,150083,150000,0
46,64,35,21,0.2106,976964627,31223,150000,1
47,54,51,38,0.2443,976964627,150039,150000,0
48,20,60,2,0.0571,976964627,12765,150000,1
48,20,60,2,0.0571,1010701430,11235,150000,1
48,20,60,2,0.0571,917007886,11399,150000,1
48,20,60,2,0.0571,1673570350,11055,150000,1
48,20,60,2,0.0571,1511508930,11171,150000,1
48,20,60,2,0.0571,395064476,10992,150000,1
48,20,60,2,0.0571,2037563455,10984,150000,1
48,20,60,2,0.0571,1177142122,12669,150000,1
48,20,60,2,0.0571,976064959,11197,150000,1
48,20,60,2,0.0571,926352561,11073,150000,1
48,20,60,2,0.0571,1590962420,10978,150000,1
48,20,60,2,0.0571,1129705271,11423,150000,1
49,94,63,43,0.0654,976964627,33516,150000,1
50,74,44,1,0.4498,976964627,31855,150000,1
51,92,21,12,0.2086,976964627,24607,150000,1
52,63,13,32,0.027,976964627,28460,150000,1
53,44,71,52,0.2922,976964627,150075,150000,0
54,81,74,74,0.2779,976964627,150040,150000,0
55,68,31,88,0.1634,976964627,150084,150000,0
56,26,18,76,0.4821,976964627,150040,150000,0
57,52,84,94,0.4103,976964627,150008,150000,0
58,78,38,66,0.1832,976964627,150104,150000,0
59,73,58,25,0.2185,976964627,37524,150000,1
60,23,7,61,0.22,976964627,150000,150000,0
61,3,66,69,0.1025,976964627,150030,150000,0
62,13,74,19,0.1647,976964627,23778,150000,1
63,47,6,97,0.0317,976964627,65766,150000,1
64,73,28,97,0.1291,976964627,150086,150000,0
65,93,75,41,0.2226,976964627,150021,150000,0
66,32,44,10,0.2144,976964627,14580,150000,1
67,37,75,91,0.2938,976964627,150080,150000,0
68,3,25,68,0.2577,976964627,150024,150000,0
69,80,5,29,0.2976,976964627,150023,150000,0
70,56,98,86,0.1818,976964627,150150,150000,0
71,82,39,51,0.2486,976964627,150040,150000,0
72,19,75,39,0.0623,976964627,21525,150000,1
73,13,13,20,0.3791,976964627,150001,150000,0
74,77,48,8,0.3797,976964627,21697,150000,1
75,16,38,45,0.0323,976964627,12754,150000,1
75,16,38,45,0.0323,1010701430,13520,150000,1
75,16,38,45,0.0323,917007886,13683,150000,1
75,16,38,45,0.0323,1673570350,13755,150000,1
75,16,38,45,0.0323,1511508930,13197,150000,1
75,16,38,45,0.0323,395064476,13825,150000,1
75,16,38,45,0.0323,2037563455,14066,150000,1
75,16,38,45,0.0323,1177142122,14353,150000,1
75,16,38,45,0.0323,976064959,14351,150000,1
75,16,38,45,0.0323,926352561,12890,150000,1
76,58,7,82,0.3181,976964627,150020,150000,0
77,19,20,34,0.4903,976964627,150033,150000,0
78,77,13,28,0.121,976964627,35018,150000,1
79,68,69,72,0.4753,976964627,150015,150000,0
80,26,27,10,0.3414,976964627,16635,150000,1
81,49,5,76,0.1736,976964627,150012,150000,0
82,46,24,7,0.2393,976964627,15177,150000,1
83,85,18,31,0.4699,976964627,150071,150000,0
84,100,27,22,0.144,976964627,29829,150000,1
85,54,25,93,0.0105,976964627,28114,150000,1
86,12,80,72,0.2978,976964627,150052,150000,0
87,37,72,17,0.2519,976964627,27938,150000,1
88,47,82,27,0.3294,976964627,150017,150000,0
89,79,48,60,0.3444,976964627,150114,150000,0
90,26,40,13,0.205,976964627,15241,150000,1
91,65,22,43,0.3918,976964627,150075,150000,0
92,3,27,60,0.1116,976964627,150023,150000,0
93,48,41,55,0.1385,976964627,150030,150000,0
94,30,33,97,0.3549,976964627,150003,150000,0
95,3,25,69,0.3707,976964627,150024,150000,0
96,79,13,75,0.0862,976964627,150020,150000,0
97,44,5,58,0.1145,976964627,150018,150000,0
98,77,16,33,0.2517,976964627,150002,150000,0
99,85,36,55,0.1733,976964627,150033,150000,0
100,5,61,70,0.3686,976964627,150018,150000,0
101,88,86,26,0.3131,976964627,129956,150000,1
102,17,94,70,0.1356,976964627,150066,150000,0
103,86,96,67,0.2546,976964627,150150,150000,0
104,13,34,55,0.0462,976964627,15492,150000,1
105,4,40,62,0.1067,976964627,150023,150000,0
106,41,78,52,0.1385,976964627,106347,150000,1
107,44,35,19,0.3332,976964627,49953,150000,1
108,91,99,92,0.1168,976964627,150098,150000,0
109,68,73,1,0.3974,976964627,33203,150000,1
110,57,42,7,0.3141,976964627,18958,150000,1
111,20,59,34,0.4369,976964627,150021,150000,0
112,22,34,16,0.4362,976964627,77136,150000,1
113,50,15,25,0.3373,976964627,150019,150000,0
114,18,75,12,0.0234,1590962420,11005,10979,0
115,42,66,36,0.0423,1590962420,11010,10979,0
116,15,62,14,0.0855,1590962420,11007,10979,0
117,36,71,6,0.0812,1590962420,11020,10979,0
118,36,59,4,0.0851,1590962420,11027,10979,0
119,2,72,5,0.1294,1590962420,10998,10979,0
120,8,77,4,0.0571,976964627,10393,19148,1
120,8,77,4,0.0571,1010701430,9804,14894,1
120,8,77,4,0.0571,917007886,10004,21123,1
120,8,77,4,0.0571,1673570350,9809,23864,1
120,8,77,4,0.0571,1511508930,11043,11971,1
120,8,77,4,0.0571,395064476,10040,12863,1
120,8,77,4,0.0571,1177142122,11104,26578,1
120,8,77,4,0.0571,976064959,11941,22557,1
120,8,77,4,0.0571,926352561,11632,28268,1
120,8,77,4,0.0571,1590962420,10179,10979,1
121,10,58,12,0.0501,1590962420,10989,10979,0
122,4,83,16,0.0998,1590962420,10985,10979,0
123,52,77,14,0.1009,1590962420,11015,10979,0
124,26,55,28,0.1234,1590962420,11000,10979,0
125,26,46,8,0.0823,1590962420,10985,10979,0
126,17,66,1,0.1208,1590962420,11011,10979,0
127,4,92,2,0.0595,1590962420,10990,10979,0
128,17,71,15,0.0648,1590962420,11044,10979,0
129,34,60,16,0.0641,1590962420,11022,10979,0
130,26,38,6,0.1039,1590962420,11010,10979,0
131,10,76,21,0.0568,1590962420,11009,10979,0
132,19,76,17,0.1255,1590962420,11026,10979,0
133,38,73,5,0.0583,1590962420,11020,10979,0
134,50,57,10,0.231,1590962420,11021,10979,0
135,6,58,20,0.0275,1010701430,11610,33451,1
135,6,58,20,0.0275,1511508930,11003,11224,1
135,6,58,20,0.0275,395064476,10865,22216,1
135,6,58,20,0.0275,1590962420,10926,10979,1
136,17,58,10,0.0546,1590962420,10986,10979,0
137,35,32,34,0.0221,1590962420,10981,10979,0
138,13,73,11,0.0767,1590962420,10997,10979,0
139,34,74,14,0.0806,1590962420,11026,10979,0
140,10,45,8,0.0652,976964627,9801,47190,1
140,10,45,8,0.0652,1010701430,10413,34425,1
140,10,45,8,0.0652,917007886,9846,58589,1
140,10,45,8,0.0652,1673570350,11137,80841,1
140,10,45,8,0.0652,1511508930,9185,12198,1
140,10,45,8,0.0652,395064476,10587,23190,1
140,10,45,8,0.0652,1177142122,9357,93510,1
140,10,45,8,0.0652,976064959,9899,69786,1
140,10,45,8,0.0652,926352561,10067,104583,1
140,10,45,8,0.0652,1590962420,9952,10979,1
141,16,53,17,0.061,1590962420,10999,10979,0
142,23,72,19,0.026,1590962420,10996,10979,0
143,22,58,15,0.0979,1590962420,11031,10979,0
144,9,69,17,0.0676,1590962420,11020,10979,0
145,24,59,17,0.1398,1590962420,10991,10979,0
146,22,47,26,0.0813,1590962420,11027,10979,0
147,5,73,5,0.0448,1590962420,10989,10979,0
148,16,62,3,0.0637,976964627,10190,46724,1
148,16,62,3,0.0637,1010701430,11006,33959,1
148,16,62,3,0.0637,917007886,9865,58123,1
148,16,62,3,0.0637,1673570350,10122,80375,1
148,16,62,3,0.0637,1511508930,10276,11732,1
148,16,62,3,0.0637,395064476,11760,22724,1
148,16,62,3,0.0637,1177142122,13266,93044,1
148,16,62,3,0.0637,976064959,10361,69320,1
148,16,62,3,0.0637,926352561,10238,104117,1
148,16,62,3,0.0637,1590962420,10418,10979,1
149,37,68,15,0.1581,1590962420,11073,10979,0
150,12,58,28,0.1391,1590962420,11024,10979,0
151,14,33,10,0.0323,976964627,9047,48104,1
151,14,33,10,0.0323,1010701430,8660,35339,1
151,14,33,10,0.0323,917007886,8528,59503,1
151,14,33,10,0.0323,1673570350,9042,81755,1
151,14,33,10,0.0323,1511508930,9472,13112,1
151,14,33,10,0.0323,395064476,9317,24104,1
151,14,33,10,0.0323,1177142122,9030,94424,1
151,14,33,10,0.0323,976064959,8719,70700,1
151,14,33,10,0.0323,926352561,9891,105497,1
151,14,33,10,0.0323,1590962420,9038,10979,1
152,14,65,30,0.0417,1590962420,10984,10979,0
153,31,74,11,0.0552,1590962420,10984,10979,0
154,10,52,30,0.1106,1590962420,11016,10979,0
155,1,66,1,0.0668,1590962420,10992,10979,0
156,32,50,6,0.0629,1590962420,10987,10979,0
157,20,67,18,0.1598,1590962420,11032,10979,0
158,13,89,11,0.1844,1590962420,11049,10979,0
159,37,80,2,0.1296,1590962420,11027,10979,0
160,34,49,8,0.0727,1590962420,10998,10979,0
161,26,63,7,0.069,1590962420,11037,10979,0
162,37,55,9,0.0617,1590962420,10992,10979,0
163,32,47,3,0.083,1590962420,11020,10979,0
164,22,60,3,0.0954,1590962420,10997,10979,0
165,11,54,2,0.115,1511508930,12001,11989,0
165,11,54,2,0.115,1590962420,10161,10979,1
166,24,57,31,0.1883,1590962420,10991,10979,0
167,30,83,2,0.0294,1590962420,10999,10979,0
168,28,58,3,0.1498,1590962420,11015,10979,0
169,14,51,17,0.04,1590962420,11001,10979,0
170,26,60,7,0.0896,1590962420,11027,10979,0
171,29,53,1,0.1369,1590962420,10985,10979,0
172,25,55,30,0.108,1590962420,11056,10979,0
173,14,38,13,0.056,976964627,10067,46708,1
173,14,38,13,0.056,1010701430,10856,33943,1
173,14,38,13,0.056,917007886,10314,58107,1
173,14,38,13,0.056,1673570350,10145,80359,1
173,14,38,13,0.056,1511508930,10100,11716,1
173,14,38,13,0.056,395064476,10509,22708,1
173,14,38,13,0.056,1177142122,10858,93028,1
173,14,38,13,0.056,976064959,10379,69304,1
173,14,38,13,0.056,926352561,10288,104101,1
173,14,38,13,0.056,1590962420,10434,10979,1
174,11,41,11,0.0873,1511508930,11377,11338,0
174,11,41,11,0.0873,1590962420,10812,10979,1
175,28,68,4,0.0657,1590962420,10990,10979,0
176,14,67,15,0.0405,1590962420,10993,10979,0
177,40,17,17,0.0863,1590962420,11012,10979,0
178,38,49,11,0.13,1590962420,11024,10979,0
179,45,57,19,0.0341,1590962420,11027,10979,0
180,28,53,9,0.1525,1590962420,11037,10979,0
181,24,87,13,0.1428,1590962420,11033,10979,0
182,24,82,4,0.1763,1590962420,10991,10979,0
183,25,66,3,0.0143,1590962420,10997,10979,0
184,17,49,25,0.0752,1590962420,10989,10979,0
185,28,56,11,0.0787,1590962420,11006,10979,0
186,8,60,9,0.1855,1590962420,10981,10979,0
